news_headline,news_article,news_category,full_text,clean_text
"WhatsApp bug lets users bypass Face ID, Touch ID in iPhones","Facebook-owned messaging platform WhatsApp is facing a bug which allows users to bypass the iPhone's biometric authentication, Touch ID and Face ID, if users share media to WhatsApp from other apps. The bug works if the 'require authentication' is set to anything apart from ""Immediately"" for unlocking WhatsApp. The WhatsApp screen lock feature was added to iOS earlier this month.",technology,"WhatsApp bug lets users bypass Face ID, Touch ID in iPhones. Facebook-owned messaging platform WhatsApp is facing a bug which allows users to bypass the iPhone's biometric authentication, Touch ID and Face ID, if users share media to WhatsApp from other apps. The bug works if the 'require authentication' is set to anything apart from ""Immediately"" for unlocking WhatsApp. The WhatsApp screen lock feature was added to iOS earlier this month.",whatsapp bug let user bypass face would touch would iphone facebook messaging platform whatsapp face bug allow user bypass iphone biometric authentication touch would face would user share medium whatsapp app bug work require authentication set anything apart immediately unlock whatsapp whatsapp screen lock feature add ios earlier month
"Won't let tech firms abuse data, influence elections: Prasad","IT Minister Ravi Shankar Prasad, in response to technology firms' opposition to draft social media rules, has said, ""A social media company shall not be allowed to abuse data of Indians to influence elections."" Adding that India will hold consultations with technology firms, Prasad said, ""We'll be fair...objective...but India’s sovereign right to frame rules and laws will always be there"".",technology,"Won't let tech firms abuse data, influence elections: Prasad. IT Minister Ravi Shankar Prasad, in response to technology firms' opposition to draft social media rules, has said, ""A social media company shall not be allowed to abuse data of Indians to influence elections."" Adding that India will hold consultations with technology firms, Prasad said, ""We'll be fair...objective...but India’s sovereign right to frame rules and laws will always be there"".",not let tech firm abuse datum influence election prasad minister ravi shankar prasad response technology firm opposition draft social medium rule say social medium company shall not allow abuse datum indian influence election add india hold consultation technology firm prasad say fair objective india sovereign right frame rule law always
Oculus headset users with audio issue to get free repair kit,"Facebook-owned Oculus Co-founder Palmer Luckey has announced users with initial consumer version of Rift virtual reality headset facing audio issues will receive a free repair kit. He revealed long-term use of the headphones results in the issue. ""I'm doing this because I feel bad for people who bought a Rift from me and can’t use it properly anymore,"" Luckey said.",technology,"Oculus headset users with audio issue to get free repair kit. Facebook-owned Oculus Co-founder Palmer Luckey has announced users with initial consumer version of Rift virtual reality headset facing audio issues will receive a free repair kit. He revealed long-term use of the headphones results in the issue. ""I'm doing this because I feel bad for people who bought a Rift from me and can’t use it properly anymore,"" Luckey said.",oculus headset user audio issue get free repair kit facebook oculus co founder palmer luckey announce user initial consumer version rift virtual reality headset face audio issue receive free repair kit reveal long term use headphone result issue feel bad people buy rift not use properly anymore luckey say
Huawei regularly tried to steal Apple trade secrets: Report,"Huawei has regularly been involved in ""a pattern of dubious tactics"" to steal rival technology, particularly from Apple's China-based suppliers, The Information reported. It claimed a Huawei engineer heading smartwatch project tried to gain Apple's FDA-approved heart sensor technology. US Department of Justice had earlier alleged Huawei has an employee rewards program for stealing rivals' secrets.",technology,"Huawei regularly tried to steal Apple trade secrets: Report. Huawei has regularly been involved in ""a pattern of dubious tactics"" to steal rival technology, particularly from Apple's China-based suppliers, The Information reported. It claimed a Huawei engineer heading smartwatch project tried to gain Apple's FDA-approved heart sensor technology. US Department of Justice had earlier alleged Huawei has an employee rewards program for stealing rivals' secrets.",huawei regularly try steal apple trade secret report huawei regularly involve pattern dubious tactic steal rival technology particularly apple china base supplier information report claim huawei engineer head smartwatch project try gain apple fda approve heart sensor technology us department justice earlier allege huawei employee reward program steal rival secret
"Google fails to disclose mic on alarm system, criticised","Google has been criticised for failing to disclose existence of microphone on its Nest Secure home security alarm system, revealed only after Google decided to incorporate Assistant-based voice controls which use it. Google said it was ""never intended to be a secret"". ""It should've been listed in tech specs...that was an error on our part,"" Google said.",technology,"Google fails to disclose mic on alarm system, criticised. Google has been criticised for failing to disclose existence of microphone on its Nest Secure home security alarm system, revealed only after Google decided to incorporate Assistant-based voice controls which use it. Google said it was ""never intended to be a secret"". ""It should've been listed in tech specs...that was an error on our part,"" Google said.",google fail disclose mic alarm system criticise google criticise fail disclose existence microphone nest secure home security alarm system reveal google decide incorporate assistant base voice control use google say never intend secret list tech spec error part google say
Robot Science Museum in South Korea to be built using robots,"Turkish firm Melike Altinisik Architects has won the international competition to design the ""world's first pioneer"" Robot Science Museum in Seoul, South Korea, which it claims will be built using robots. ""From design, manufacturing to construction and services, robots will be in charge,"" the firm said. ""RSM will start its first exhibition with its own construction by robots,"" it added.",technology,"Robot Science Museum in South Korea to be built using robots. Turkish firm Melike Altinisik Architects has won the international competition to design the ""world's first pioneer"" Robot Science Museum in Seoul, South Korea, which it claims will be built using robots. ""From design, manufacturing to construction and services, robots will be in charge,"" the firm said. ""RSM will start its first exhibition with its own construction by robots,"" it added.",robot science museum south korea build use robot turkish firm melike altinisik architect win international competition design world first pioneer robot science museum seoul south korea claim build use robot design manufacture construction service robot charge firm say rsm start first exhibition construction robot add
"London startup makes finger-worn controller for devices, AR","London-based hardware and software startup LITHO has created the first publicly available version of its finger-worn device that can control smart devices and ""spatial interactions"" in augmented reality (AR). The device connects to a smartphone or AR headset via Bluetooth Low Energy. The controller was unveiled before the British Royal family at the 'Pitch@Palace' event last year.",technology,"London startup makes finger-worn controller for devices, AR. London-based hardware and software startup LITHO has created the first publicly available version of its finger-worn device that can control smart devices and ""spatial interactions"" in augmented reality (AR). The device connects to a smartphone or AR headset via Bluetooth Low Energy. The controller was unveiled before the British Royal family at the 'Pitch@Palace' event last year.",london startup make finger wear controller device ar london base hardware software startup litho create first publicly available version finger wear device control smart device spatial interaction augment reality ar device connect smartphone ar headset via bluetooth low energy controller unveil british royal family pitchpalace event last year
CERN recreates 1st-ever web browser to surf like in 1990,"The European Organisation for Nuclear Research (CERN) has rebuilt the first-ever web browser 'WorldWideWeb' to celebrate its 30th anniversary and allow present-day internet users to experience it. The original browser was created by Sir Tim Berners-Lee and launched in the year 1990. WorldWideWeb, the only web browser and editor of its time, was discontinued in 1994.",technology,"CERN recreates 1st-ever web browser to surf like in 1990. The European Organisation for Nuclear Research (CERN) has rebuilt the first-ever web browser 'WorldWideWeb' to celebrate its 30th anniversary and allow present-day internet users to experience it. The original browser was created by Sir Tim Berners-Lee and launched in the year 1990. WorldWideWeb, the only web browser and editor of its time, was discontinued in 1994.",cern recreate st ever web browser surf like european organisation nuclear research cern rebuild first ever web browser worldwideweb celebrate th anniversary allow present day internet user experience original browser create sir tim berner lee launch year worldwideweb web browser editor time discontinue
Intel buys Hyderabad semiconductor startup to make GPU chips,"American chipmaker Intel has acquihired Hyderabad-based semiconductor startup Ineda Systems for an undisclosed amount. Around 100 engineers from the startup will join Intel to ""help build a world-class discrete GPU (Graphics Processing Unit) business"". Founded in 2010, Ineda has raised around $60 million cumulatively from investors including Qualcomm Ventures, Samsung Catalyst Fund among others.",technology,"Intel buys Hyderabad semiconductor startup to make GPU chips. American chipmaker Intel has acquihired Hyderabad-based semiconductor startup Ineda Systems for an undisclosed amount. Around 100 engineers from the startup will join Intel to ""help build a world-class discrete GPU (Graphics Processing Unit) business"". Founded in 2010, Ineda has raised around $60 million cumulatively from investors including Qualcomm Ventures, Samsung Catalyst Fund among others.",intel buy hyderabad semiconductor startup make gpu chip american chipmaker intel acquihir hyderabad base semiconductor startup ineda system undisclosed amount around engineer startup join intel help build world class discrete gpu graphic processing unit business found ineda raise around million cumulatively investor include qualcomm venture samsung catalyst fund among
"Nestlé, others pull YouTube ads over child porn controversy","Companies including Nestlé and 'Fortnite' maker Epic Games have ""paused"" advertising on YouTube while Disney has also reportedly withheld its YouTube ads spending. This comes after video blogger Matt Watson alleged YouTube's 'recommended' algorithm let paedophiles share ""child pornography"" links via comments on videos that ran brand ads. YouTube said it took immediate action by deleting accounts.",technology,"Nestlé, others pull YouTube ads over child porn controversy. Companies including Nestlé and 'Fortnite' maker Epic Games have ""paused"" advertising on YouTube while Disney has also reportedly withheld its YouTube ads spending. This comes after video blogger Matt Watson alleged YouTube's 'recommended' algorithm let paedophiles share ""child pornography"" links via comments on videos that ran brand ads. YouTube said it took immediate action by deleting accounts.",nestle pull youtube ad child porn controversy company include nestle fortnite maker epic game pause advertising youtube disney also reportedly withhold youtube ad spending come video blogger matt watson allege youtube recommend algorithm let paedophile share child pornography link via comment video run brand ad youtube say take immediate action delete account
"Fake email tried to end 'Fortnite' dance lawsuit, says law firm","The US law firm leading a lawsuit against online multiplayer game Fortnite's maker for allegedly illegally copying dance moves claimed a fake email impersonating its lawyer was sent to undermine the case. The email sent to US Copyright Office read, ""I would like for our copyright claims to be terminated...because they're false"". The office informed the lawyer about the email. ",technology,"Fake email tried to end 'Fortnite' dance lawsuit, says law firm. The US law firm leading a lawsuit against online multiplayer game Fortnite's maker for allegedly illegally copying dance moves claimed a fake email impersonating its lawyer was sent to undermine the case. The email sent to US Copyright Office read, ""I would like for our copyright claims to be terminated...because they're false"". The office informed the lawyer about the email. ",fake email try end fortnite dance lawsuit say law firm us law firm lead lawsuit online multiplayer game fortnite maker allegedly illegally copy dance move claim fake email impersonate lawyer send undermine case email send us copyright office read would like copyright claim terminate false office inform lawyer email
PM Modi inaugurates supercomputer 'PARAM Shivay' at IIT-BHU,"Prime Minister Narendra Modi on Wednesday inaugurated a supercomputer named 'PARAM Shivay' of 833 teraflop capacity built for ₹32.5 crore, at IIT-Banaras Hindu University. The supercomputer was built under the ₹4,500-crore National Supercomputing Mission (NSM), under which 73 supercomputers would be installed. A postal stamp was also released by PM Modi on the centenary year of the institute.",technology,"PM Modi inaugurates supercomputer 'PARAM Shivay' at IIT-BHU. Prime Minister Narendra Modi on Wednesday inaugurated a supercomputer named 'PARAM Shivay' of 833 teraflop capacity built for ₹32.5 crore, at IIT-Banaras Hindu University. The supercomputer was built under the ₹4,500-crore National Supercomputing Mission (NSM), under which 73 supercomputers would be installed. A postal stamp was also released by PM Modi on the centenary year of the institute.",pm modi inaugurate supercomputer param shivay iit bhu prime minister narendra modi wednesday inaugurate supercomputer name param shivay teraflop capacity build crore iit banaras hindu university supercomputer build crore national supercomputing mission nsm supercomputer would instal postal stamp also release pm modi centenary year institute
RBI warns installing AnyDesk app may cause phone data theft,"
The Reserve Bank of India has warned against the download of 'AnyDesk' app, saying it was being used by hackers to access phone data and facilitate financial theft. Once installed, AnyDesk reportedly generates a nine-digit code and seeks users' permission to access phone controls on inserting it. It then allegedly steals confidential data to process fraudulent transactions via payments apps.",technology,"RBI warns installing AnyDesk app may cause phone data theft. 
The Reserve Bank of India has warned against the download of 'AnyDesk' app, saying it was being used by hackers to access phone data and facilitate financial theft. Once installed, AnyDesk reportedly generates a nine-digit code and seeks users' permission to access phone controls on inserting it. It then allegedly steals confidential data to process fraudulent transactions via payments apps.",rbi warn instal anydesk app may phone datum theft reserve bank india warn download anydesk app say use hacker access phone datum facilitate financial theft instal anydesk reportedly generate nine digit code seek user permission access phone control insert allegedly steal confidential datum process fraudulent transaction via payment app
Audi tool lets drivers avoid red lights by suggesting speeds,"Audi has made a Green Light Optimisation Speed Advisory tool that recommends speeds to drivers to help them avoid red traffic lights. The tool, which is an extension of the automaker's Traffic Light Information (TLI) technology, uses traffic signal data and vehicle position to calculate ideal speeds. Audi gets information wirelessly from traffic signals, upgraded to support such communications.",technology,"Audi tool lets drivers avoid red lights by suggesting speeds. Audi has made a Green Light Optimisation Speed Advisory tool that recommends speeds to drivers to help them avoid red traffic lights. The tool, which is an extension of the automaker's Traffic Light Information (TLI) technology, uses traffic signal data and vehicle position to calculate ideal speeds. Audi gets information wirelessly from traffic signals, upgraded to support such communications.",audi tool let driver avoid red light suggest speed audi make green light optimisation speed advisory tool recommend speed driver help avoid red traffic light tool extension automaker traffic light information tli technology use traffic signal datum vehicle position calculate ideal speed audi get information wirelessly traffic signal upgrade support communication
Cheteshwar Pujara slams his first ever T20 hundred off 61 balls,"Cheteshwar Pujara slammed his first ever T20 hundred off 61 balls, achieving the feat while playing for Saurashtra against Railways in the Syed Mushtaq Ali Trophy on Thursday. The 31-year-old hit 14 fours and a six during his unbeaten knock of 100 runs. Prior to this, Pujara had played 50 T20 innings, hitting six fifties.",sports,"Cheteshwar Pujara slams his first ever T20 hundred off 61 balls. Cheteshwar Pujara slammed his first ever T20 hundred off 61 balls, achieving the feat while playing for Saurashtra against Railways in the Syed Mushtaq Ali Trophy on Thursday. The 31-year-old hit 14 fours and a six during his unbeaten knock of 100 runs. Prior to this, Pujara had played 50 T20 innings, hitting six fifties.",cheteshwar pujara slam first ever hundred ball cheteshwar pujara slam first ever hundred ball achieve feat play saurashtra railway syed mushtaq ali trophy thursday year old hit four six unbeaten knock run prior pujara play inning hit six fifty
SC appoints its former judge DK Jain as BCCI Ombudsman,The Supreme Court on Thursday appointed its former judge Justice DK Jain as the first Ombudsman of the BCCI to resolve disputes under the cricket board's new constitution. Justice Jain has been asked to take charge immediately. He will decide quantum of punishments for KL Rahul and Hardik Pandya over their comments on women in 'Koffee with Karan'. ,sports,SC appoints its former judge DK Jain as BCCI Ombudsman. The Supreme Court on Thursday appointed its former judge Justice DK Jain as the first Ombudsman of the BCCI to resolve disputes under the cricket board's new constitution. Justice Jain has been asked to take charge immediately. He will decide quantum of punishments for KL Rahul and Hardik Pandya over their comments on women in 'Koffee with Karan'. ,sc appoint former judge dk jain bcci ombudsman supreme court thursday appoint former judge justice dk jain first ombudsman bcci resolve dispute cricket board new constitution justice jain ask take charge immediately decide quantum punishment kl rahul hardik pandya comment woman koffee karan
India have the right to pull out of World Cup match vs Pak: Akhtar,"Ex-Pakistan pacer Shoaib Akhtar has said India have the right to pull out of 2019 World Cup match against Pakistan scheduled to take place on June 16. ""Their country was attacked...You cannot argue on that,"" he added. ""We strongly condemn...loss of lives. But...we'll stand by our Prime Minister Imran Khan's statement without having a second thought,"" he further said.",sports,"India have the right to pull out of World Cup match vs Pak: Akhtar. Ex-Pakistan pacer Shoaib Akhtar has said India have the right to pull out of 2019 World Cup match against Pakistan scheduled to take place on June 16. ""Their country was attacked...You cannot argue on that,"" he added. ""We strongly condemn...loss of lives. But...we'll stand by our Prime Minister Imran Khan's statement without having a second thought,"" he further said.",india right pull world cup match vs pak akhtar ex pakistan pacer shoaib akhtar say india right pull world cup match pakistan schedule take place june country attack not argue add strongly condemn loss life stand prime minister imran khan statement without second thought say
Banning cricket with Pakistan a justified demand: Union Minister,"Union Minister Ravi Shankar Prasad has said that banning cricket with Pakistan is a justified demand following the Pulwama terror attack, in which 40 CRPF jawans were martyred. ""It's time to say no...Pakistan Prime Minister Imran Khan had no word of condolence for those who were martyred,"" he added. ""Things are not normal,"" he further said.",sports,"Banning cricket with Pakistan a justified demand: Union Minister. Union Minister Ravi Shankar Prasad has said that banning cricket with Pakistan is a justified demand following the Pulwama terror attack, in which 40 CRPF jawans were martyred. ""It's time to say no...Pakistan Prime Minister Imran Khan had no word of condolence for those who were martyred,"" he added. ""Things are not normal,"" he further said.",ban cricket pakistan justified demand union minister union minister ravi shankar prasad say ban cricket pakistan justified demand follow pulwama terror attack crpf jawan martyr time say no pakistan prime minister imran khan no word condolence martyr add thing not normal say
"Even if we don't play 2019 World Cup, it won’t matter: Harbhajan","Cricketer Harbhajan Singh has said India shouldn't play cricket against Pakistan at all after Pulwama attack, wherein 40 CRPF jawans were martyred. ""World Cup is very small when it comes to the country. Even if we don't play World Cup...it won't matter,"" he added. ""It's not right to keep playing sports with Pakistan when our soldiers are dying,"" he stated.",sports,"Even if we don't play 2019 World Cup, it won’t matter: Harbhajan. Cricketer Harbhajan Singh has said India shouldn't play cricket against Pakistan at all after Pulwama attack, wherein 40 CRPF jawans were martyred. ""World Cup is very small when it comes to the country. Even if we don't play World Cup...it won't matter,"" he added. ""It's not right to keep playing sports with Pakistan when our soldiers are dying,"" he stated.",even not play world cup not matter harbhajan cricketer harbhajan singh say india not play cricket pakistan pulwama attack wherein crpf jawan martyr world cup small come country even not play world cup not matter add not right keep play sport pakistan soldier die state
India could be banned if they don't play Pak in WC: Chetan Chauhan,"Ex-India opener and UP Sports Minister Chetan Chauhan has said India would have to face consequences if they pull out of the World Cup match against Pakistan. ""We could be fined or banned...I think government and BCCI will consider this,"" he added. He further said that if India forfeit the match, it'd be detrimental for the team in World Cup. ",sports,"India could be banned if they don't play Pak in WC: Chetan Chauhan. Ex-India opener and UP Sports Minister Chetan Chauhan has said India would have to face consequences if they pull out of the World Cup match against Pakistan. ""We could be fined or banned...I think government and BCCI will consider this,"" he added. He further said that if India forfeit the match, it'd be detrimental for the team in World Cup. ",india could ban not play pak wc chetan chauhan ex india opener sport minister chetan chauhan say india would face consequence pull world cup match pakistan could fin ban think government bcci consider add say india forfeit match would detrimental team world cup
"Photos of Imran Khan, other Pak cricketers removed from Chinnaswamy","In a protest against Pulwama attack, Karnataka State Cricket Association removed the photographs of Pakistani cricketers, including Imran Khan, from Bengaluru's Chinnaswamy Stadium. Earlier, pictures of Pakistani cricketers were removed from stadiums in Mohali, Jaipur and Dharamshala. Pakistan-based Jaish-e-Mohammed claimed the responsibility for the attack, in which 40 CRPF jawans were martyred. ",sports,"Photos of Imran Khan, other Pak cricketers removed from Chinnaswamy. In a protest against Pulwama attack, Karnataka State Cricket Association removed the photographs of Pakistani cricketers, including Imran Khan, from Bengaluru's Chinnaswamy Stadium. Earlier, pictures of Pakistani cricketers were removed from stadiums in Mohali, Jaipur and Dharamshala. Pakistan-based Jaish-e-Mohammed claimed the responsibility for the attack, in which 40 CRPF jawans were martyred. ",photo imran khan pak cricketer remove chinnaswamy protest pulwama attack karnataka state cricket association remove photograph pakistani cricketer include imran khan bengalurus chinnaswamy stadium earlier picture pakistani cricketer remove stadium mohali jaipur dharamshala pakistan base jaish e mohammed claim responsibility attack crpf jawan martyr
Gayle 1st to hit 100 sixes vs one opponent in international cricket,"Chris Gayle slammed 12 sixes against England in first ODI on Wednesday to take his tally of international sixes against them to 100. With this, he became the first-ever batsman to smash 100 sixes against one opponent in international cricket. The 39-year-old has hit 57 sixes in 31 ODIs, 28 in 11 T20Is and 15 in 20 Tests against England.",sports,"Gayle 1st to hit 100 sixes vs one opponent in international cricket. Chris Gayle slammed 12 sixes against England in first ODI on Wednesday to take his tally of international sixes against them to 100. With this, he became the first-ever batsman to smash 100 sixes against one opponent in international cricket. The 39-year-old has hit 57 sixes in 31 ODIs, 28 in 11 T20Is and 15 in 20 Tests against England.",gayle st hit six vs one opponent international cricket chris gayle slam six england first odi wednesday take tally international six become first ever batsman smash six one opponent international cricket year old hit six odi tis test england
"WI slam 23 sixes, set world record for most 6s by a team in an ODI",Windies smashed a total of 23 sixes in the first ODI against England on Wednesday to set the world record for hitting most sixes by a team in an ODI. The previous record (22 sixes) was set by New Zealand against Windies in 2014. This is the fourth instance of a team slamming at least 20 sixes in an ODI.,sports,"WI slam 23 sixes, set world record for most 6s by a team in an ODI. Windies smashed a total of 23 sixes in the first ODI against England on Wednesday to set the world record for hitting most sixes by a team in an ODI. The previous record (22 sixes) was set by New Zealand against Windies in 2014. This is the fourth instance of a team slamming at least 20 sixes in an ODI.",wi slam six set world record team odi windie smash total six first odi england wednesday set world record hit six team odi previous record six set new zealand windie fourth instance team slam least six odi
We received 4 lakh ticket applications for India-Pak WC match: ICC,"ICC has received over four lakh applications for tickets of India-Pakistan 2019 World Cup match which is scheduled to take place on June 16 in Manchester, tournament managing director Steve Elworthy revealed. ""The stadium (Old Trafford) only holds 25,000 people. So there're a number of disappointed people,"" he added. He further said they received 2.6-2.7 lakh applications for the final. ",sports,"We received 4 lakh ticket applications for India-Pak WC match: ICC. ICC has received over four lakh applications for tickets of India-Pakistan 2019 World Cup match which is scheduled to take place on June 16 in Manchester, tournament managing director Steve Elworthy revealed. ""The stadium (Old Trafford) only holds 25,000 people. So there're a number of disappointed people,"" he added. He further said they received 2.6-2.7 lakh applications for the final. ",receive lakh ticket application india pak wc match icc icc receive four lakh application ticket india pakistan world cup match schedule take place june manchester tournament manage director steve elworthy reveal stadium old trafford hold people number disappointed people add say receive lakh application final
